"x","y"
1,"2.610434604"
2,"2.758033232"
3,"2.887943405"
4,"2.839322286"
5,"2.674871642"
6,"2.188684976"
7,"1.697277925"
8,"1.777745618"
9,"2.141410997"
10,"2.409658078"
11,"2.44898261"
12,"2.427584829"
13,"2.483486867"
14,"2.625977375"
15,"2.79562021"
16,"2.738315466"
17,"2.49488331"
18,"2.547238061"
19,"1.808826911"
20,"1.77514251"
21,"2.072227165"
22,"2.432367476"
23,"2.539942089"
24,"2.592489019"
25,"2.59103614"
26,"2.837727176"
27,"2.922172998"
28,"2.746938667"
29,"2.652592979"
30,"2.293887696"
31,"1.431091608"
32,"1.780712527"
33,"2.256950858"
34,"2.623814416"
35,"2.705153136"
36,"2.611809624"
37,"2.645249263"
38,"2.860302609"
39,"3.288468037"
40,"3.061157882"
41,"2.981656013"
42,"2.37804666"
43,"1.802832601"
44,"1.851502204"
45,"2.161665033"
46,"2.552111618"
47,"2.523405196"
48,"2.618744365"
49,"2.548959896"
50,"2.706338062"
51,"3.038208338"
52,"3.025387888"
53,"3.184235116"
54,"2.908723372"
55,"2.551314299"
56,"2.531338793"
57,"2.620401129"
58,"2.862234144"
59,"2.892319697"
60,"2.988766529"
61,"3.089164811"
62,"3.203550566"
63,"3.110246738"
64,"3.124992181"
65,"3.18312143"
66,"2.388073851"
67,"1.785968204"
68,"2.094040251"
69,"2.280342407"
70,"2.361370354"
71,"2.548967421"
72,"2.782610427"
73,"2.856308414"
74,"3.114179145"
75,"3.412294528"
76,"3.228472464"
77,"3.136457663"
78,"3.02599699"
79,"1.964786168"
80,"2.299426934"
81,"2.611751776"
82,"2.937479476"
83,"3.16575238"
84,"3.246775208"
85,"3.181769667"
86,"3.202597167"
87,"3.232654621"
88,"2.918382469"
89,"2.847987287"
90,"2.453346402"
91,"1.742236093"
92,"2.294725617"
93,"2.437717611"
94,"2.67697834"
95,"2.912280702"
96,"2.943637885"
97,"2.741666994"
98,"2.705318209"
99,"2.743997345"
100,"2.800668151"
101,"2.893693081"
102,"2.44382"
103,"1.670372538"
104,"1.745350675"
105,"1.905514811"
106,"2.089057635"
107,"2.194657853"
108,"2.322743078"
109,"2.453515934"
110,"2.629780188"
111,"2.74459354"
112,"2.596450257"
113,"2.372256709"
114,"2.352402764"
115,"1.631700534"
116,"1.731290318"
117,"1.936367077"
118,"2.118178891"
119,"1.998300722"
120,"2.095629863"
121,"2.024632353"
122,"2.047339873"
123,"2.267396403"
124,"2.250441588"
125,"1.997368765"
126,"2.011803745"
127,"1.265516576"
128,"1.408352144"
129,"1.569887958"
130,"1.648948683"
131,"1.707537285"
132,"1.839244398"
133,"1.857866626"
134,"1.878259356"
135,"2.032237254"
136,"2.071633216"
137,"1.852977014"
138,"1.849635368"
139,"1.343661117"
140,"1.456090032"
141,"1.512393437"
142,"1.53612758"
143,"1.602148094"
144,"1.573707401"
145,"1.567634033"
146,"1.706738428"
147,"1.983054234"
148,"1.888110605"
149,"1.652970472"
150,"1.832825803"
151,"1.337605859"
152,"1.379902466"
153,"1.389041246"
154,"1.669996318"
155,"1.857312719"
156,"1.865511088"
157,"1.891184235"
158,"1.925062146"
159,"1.980514121"
160,"1.981834919"
161,"1.767673755"
162,"1.758769173"
163,"1.227151959"
164,"1.382872744"
165,"1.351569892"
166,"1.482222"
167,"1.39911"
168,"1.454588"
169,"1.397586"
170,"1.494868"
171,"1.840725"
172,"1.540951"
173,"1.420252"
174,"1.386945"
175,"1.210824"
176,"1.500481"
177,"1.453995"
178,"1.4336"
179,"1.5154"
180,"1.5699"
181,"1.5595"
182,"1.5569"
183,"1.8611"
184,"1.7354"
185,"1.5164"
186,"1.3457"
187,"1.0256"
188,"1.1568"
189,"1.2904"
190,"1.49"
191,"1.4142"
192,"1.3734"
193,"1.6136"
194,"1.7493"
195,"2.0809"
196,"1.9564"
197,"1.8317"
198,"1.7048"
199,"1.3017"
200,"1.6055"
201,"1.8123"
202,"1.5937"
203,"1.5786"
204,"1.7951"
205,"1.9003"
206,"1.9974"
207,"2.3602"
208,"1.9693"
209,"2.2003"
210,"1.5254"
211,"1.3671"
212,"1.5236"
213,"1.8612"
214,"1.9823"
215,"2.21"
216,"2.306"
217,"2.2096"
218,"2.1247"
219,"2.4138"
220,"2.2918"
221,"2.6012"
222,"1.8076"
223,"1.4709"
224,"1.6621"
225,"1.7348"
226,"1.7703"
227,"1.9284"
228,"2.0017"
229,"2.0263"
230,"2.12637"
231,"2.282383"
232,"2.132187"
233,"2.309527"
234,"2.443367"
235,"2.079531"
236,"2.37065"
237,"2.504986"
238,"2.465579"
239,"2.388797"
240,"2.376516"
241,"2.374009"
242,"2.431108"
243,"2.595415"
244,"2.295695"
245,"2.210377"
246,"1.749072"
247,"1.63743"
248,"1.59689"
249,"1.618793"
250,"1.563411"
251,"1.462395"
252,"1.546468"
253,"1.678654"
254,"1.821449"
255,"2.14085"
256,"1.849412"
257,"1.915514"
258,"1.745645"
259,"1.411517"
260,"1.423616"
261,"1.475975"
262,"1.690861"
263,"1.842744"
264,"1.787275"
265,"1.777377"
266,"1.876227"
267,"2.204687"
268,"1.979186"
269,"1.872288"
270,"1.394592"
271,"1.344409"
272,"1.496595"
273,"1.642469"
274,"1.550269"
275,"1.469853"
276,"1.48069"
277,"1.62223"
278,"1.731222"
279,"1.850783"
280,"1.633706"
281,"1.851132"
282,"1.178814"
283,"1.362973"
284,"1.425247"
285,"1.740835"
286,"1.830388"
287,"1.764743"
288,"1.688556"
289,"1.718812"
290,"1.841074"
291,"1.953777"
292,"1.981021"
293,"1.853755"
294,"1.769253"
295,"1.696737"
296,"2.167557"
297,"1.870611"
298,"1.728475"
299,"1.630745"
300,"1.662418"
301,"1.652762"
302,"1.804944"
303,"2.029355"
304,"1.971804"
305,"1.98146"
306,"1.484357"
307,"1.4017"
308,"1.416288"
309,"1.519852"
310,"1.802899"
311,"1.907981"
312,"1.924474"
313,"2.028593"
314,"2.011312"
315,"2.209798"
316,"2.482435"
317,"2.647591"
318,"2.173848"
319,"2.06454"
320,"2.1815"
321,"2.522778"
322,"2.608696"
323,"2.254658"
324,"2.813694"
325,"2.802619"
326,"2.880244"
327,"3.068443"
328,"3.092192"
329,"3.303695"
330,"2.865741"
331,"2.606892"
332,"2.767321"
333,"2.642499"
334,"2.494983"
335,"2.585179"
336,"2.966303"
337,"3.23968"
338,"2.463122"
339,"2.491181"
340,"2.266237"
341,"2.520002"
342,"2.247648"
343,"1.979456"
344,"1.955809"
345,"1.920201"
346,"1.932868"
347,"1.937788"
348,"2.006786"
349,"1.988821"
350,"2.147821"
351,"2.372436"
352,"2.2892"
353,"2.284813"
354,"1.779899"
355,"1.749231"
356,"1.816721"
357,"1.845895"
358,"2.064999"
359,"2.23899"
360,"2.271231"
361,"2.269411"
362,"2.341985"
363,"2.5332"
364,"2.447041"
365,"2.525802"
366,"2.476778"
367,"2.111772"
368,"2.082186"
369,"2.171012"
370,"2.30886"
371,"2.428964"
372,"2.477828"
373,"2.355955"
374,"2.363044"
375,"2.485415"
376,"2.296226"
377,"2.333387"
378,"1.793921"
379,"1.595866"
380,"1.710037"
381,"1.80611"
382,"2.128289"
383,"2.014728"
384,"1.972897"
385,"2.158344"
386,"2.392124"
387,"2.573542"
388,"2.360777"
389,"2.302726"
390,"2.233881"
391,"1.85431"
392,"2.086103"
393,"2.361287"
394,"2.631579"
395,"2.40586"
396,"2.798013"
397,"2.713126"
398,"3.096596"
399,"3.194885"
400,"3.088475"
401,"3.055581"
402,"3.350872"
403,"2.626291"
404,"2.544626"
405,"3.469254"
406,"3.029898"
407,"3.099577"
408,"2.868768"
409,"2.703047"
410,"2.641153"
411,"2.503793"
412,"2.643176"
413,"2.469482"
414,"2.404277"
415,"1.971091"
416,"1.991129"
417,"1.915126"
418,"1.801887"
419,"1.788799"
420,"1.805377"
421,"1.814103"
422,"1.826491"
423,"1.829808"
424,"1.850921"
425,"1.881284"
426,"1.864707"
427,"1.881284"
428,"1.899607"
429,"1.91252"
430,"1.717589"
431,"1.718841"
432,"1.710229"
433,"1.7226"
434,"1.741548"
435,"1.765508"
436,"1.823763"
437,"1.866203"
438,"1.897991"
439,"1.907233"
440,"1.913808"
441,"1.971751"
442,"2.040654"
443,"2.073679"
444,"2.089467"
445,"2.085278"
446,"2.074163"
447,"2.079158"
448,"2.056925"
449,"2.044681"
450,"2.001024"
451,"1.985558"
452,"2.031631"
453,"2.030021"
454,"2.044681"
455,"2.198167"
456,"2.10505"
457,"2.073792"
458,"2.117973"
459,"1.969119"
460,"1.958042"
461,"2.186726"
462,"3.957038"
463,"1.497442"
464,"1.528214"
465,"1.593796"
466,"1.624353"
467,"1.69279"
468,"1.730279"
469,"1.724461"
470,"1.820116"
471,"2.017642"
472,"1.856672"
473,"1.843189"
474,"3.081241"
475,"1.64633"
476,"1.725475"
477,"1.736875"
478,"1.577477"
479,"1.536436"
480,"1.849116"
481,"1.989215"
482,"2.130281"
483,"2.434384"
484,"2.550806"
485,"2.248183"
486,"2.978849"
487,"2.057485"
488,"1.90513"
489,"1.551216"
490,"1.478905"
491,"1.429579"
492,"1.419293"
493,"1.412062"
494,"1.469708"
495,"1.629308"
496,"1.581827"
497,"1.338079"
498,"1.709011"
499,"1.14857"
500,"1.18826"
501,"1.214003"
502,"1.20636"
503,"1.266744"
504,"1.399619"
505,"1.399848"
506,"1.534951"
507,"1.732839"
508,"1.700853"
509,"1.499189"
510,"2.031931"
511,"1.130917"
512,"1.193996"
513,"1.285751"
514,"1.374181"
515,"1.265237"
516,"1.227041"
517,"1.263735"
518,"1.448293"
519,"1.853248"
520,"1.52586"
521,"1.296882"
522,"1.464217"
523,"0.8311096"
